TGFBR2	CCNB1	0
NEDD4	SMAD3	0
GAS6	KNG1	0
ITPR1	PDE5A	0
COL11A1	COL6A2	0
SHBG	ATP5A1	0
ABL1	MUC1	0
TNK2	BIN1	0
IL15	CDH1	0
CALM3	AURKA	0
PTPRC	CD3D	0
MYH11	TPM2	0
TFRC	OPTN	0
JUNB	IL6	0
CACNA1D	HSPA2	0
MYH11	TPM3	0
SERPINF2	SERPING1	0
MYL9	MYH2	0
DSP	DES	0
RAP1GAP	GNAZ	0
HSPD1	ALDH2	0
AR	FHL2	0
FOS	MAZ	0
SHBG	CLDN4	0
SHBG	AP2B1	0
LPAR4	F2RL1	0
OGT	ACTB	0
GAS6	PF4	0
ABL1	RIN1	0
F5	PF4	0
ID1	CDC20	0
SERPING1	TGFB3	0
BASP1	CALM3	0
PROS1	F5	0
AR	NR3C1	0
COL9A2	COL4A6	0
LPAR1	KNG1	0
FOS	LMNB1	0
DES	TPM3	0
CDC20	CCNB1	0
ATF3	JUND	0
NEDD4	CBLB	0
MYH7	MYOM2	0
LPAR1	EDNRA	0
TNK2	AR	0
PARP4	CDK1	0
AR	GSK3B	0
JUN	NEDD4	0
PBX1	MEIS1	0
MYL1	TMOD1	0
DPYSL3	ACTA1	0
NCOA3	VDR	0
TGFB1I1	ILK	0
CCL21	ANXA1	0
STAT1	STAT6	0
FHL2	IGFBP5	0
KAT5	GAPDH	0
SHBG	SORD	0
GSN	LTF	0
BGN	CSPG4	0
FOS	NR3C1	0
CLU	SERPING1	0
ACTN1	KNG1	0
CFD	KNG1	0
TNNC2	MYL2	0
MAPK8	JUNB	0
MUC1	ERBB3	0
FN1	F13A1	0
PTPRC	SLAMF1	0
CXCR4	FLNA	0
FOS	FOXA1	0
CCL5	CCL21	0
FBLN1	NID1	0
ADH5	TP63	0
ADRB2	VIPR2	0
CDKN2A	UCHL1	0
LPAR1	CCL21	0
SPON1	APOE	0
PLK1	BUB1B	0
CSPG4	VCAN	0
CLU	LTF	0
SEMG1	LTF	0
CCK	EDNRB	0
GAS6	F13A1	0
DMD	SGCA	0
MYL3	TPM1	0
CCL5	CCL2	0
AR	HMGB2	0
FGFR1	NEDD4	0
DES	TMOD1	0
ACTA1	GAS7	0
AR	JUN	0
GCNT1	MUC1	0
SFPQ	FHL2	0
JUN	EGR1	0
ACTB	SMAD3	0
PLK1	TERF1	0
DYNC1I2	DNALI1	0
ALB	TGFB3	0
ATF3	EZH2	0
CDKN2A	DAPK1	0
FLNA	CCNB2	0
ACTB	VHL	0
TPM1	MYL2	0
DES	TNNC2	0
S100A4	S100P	0
DES	SYNM	0
ACTA1	ACTC1	0
MYOM1	MYOM2	0
HSD3B1	NR4A1	0
MED21	VDR	0
SVIL	NR3C1	0
MAP1B	GAPDH	0
CBX4	CBX7	0
CALD1	FERMT2	0
CXCL2	ANXA1	0
TOP2A	NR4A1	0
MED12	VDR	0
SMAD3	JUNB	0
ACTN1	CDH1	0
FN1	FGB	0
PLK1	CALM3	0
KLRG1	CDH1	0
LAMA1	ITGA7	0
AR	SFPQ	0
ITGA6	ITGB4	0
PTTG1	PLK1	0
CDKN2A	KAT5	0
SFPQ	STAT6	0
STAT1	IL6	0
TPM2	TTN	0
GSTP1	JUN	0
CDKN2A	EGR1	0
HBB	LAMB2	0
ACTC1	PALLD	0
SERPINF2	TGFB3	0
ZYX	CDK1	0
PITX1	EGR1	0
MYLPF	MYL3	0
FN1	SERPING1	0
MYH11	MYH2	0
TRIB1	ITGA5	0
MEF2C	HLF	0
MUC1	ST6GALNAC2	0
CDK1	BUB1	0
JUN	BAX	0
F5	SERPING1	0
FAS	FASN	0
GBP2	ICAM3	0
LPAR4	EDNRA	0
KLF6	IGF1	0
LPAR4	F2R	0
FGG	F13A1	0
NOS3	CALM3	0
